Column,31 December 2014
"Current price, RwF",300
"Market Cap, US$ mln",290
Free float,45%
Free float in US$ mln,131.7
Average daily traded volume in US$ mln,0.13
"Common shares outstanding, mln shares",671.9
12-month high,365
12-month low,170
P/E 2014 (based on current price),11.66x
P/BV 2014 (based on current price),2.45x
"Dividend yield, 2013",4.6%
"Dividend yield, 2014 (based on price of RwF 300)",5.4%
Ticker Code,BOK
Bloomberg,BOK. RW
Rwf/USD Exchange Rate of 694.374 as at 31st December 2014(BNR),
*Capital gains on RSE transactions are exempted from Capital Gains Tax,
