Corporate,Stage 1,Stage 2,Stage 3,Gross Loans,"Impairment
allowance","Carrying
amount","Fair value
of collateral"
,"272,440,290","2,254,748","5,459,917","280,154,955","(6,522,506)","273,632,448","282,369,755"
,"138,866,679","10,312,284","1,469,539","150,648,503","(8,472,197)","142,176,306","296,350,555"
,"726,284,086","17,420,238","33,971,138","777,675,461","(24,603,086)","753,072,375","906,350,095"
,"2,804,366","197,065","714,106","3,715,536","(675,470)","3,040,066",-
,"31,786,586","507,387","1,569,698","33,863,670","(1,226,521)","32,637,150","3,949,328"
,-,-,-,-,-,-,-
,"1,172,182,007","30,691,721","43,184,398","1,246,058,126","(41,499,780)","1,204,558,345","1,489,019,734"
,"513,104","5,173","4,329,050","4,847,328","(3,757,610)","1,089,718","124,490,488"
,"494,181","15,216","21,213","530,611","(17,194)","513,417","135,133,783"
,"3,427,018","232,996","788,413","4,448,427","(587,786)","3,860,641","225,072,021"
,"135,256,508","5,810,147","20,048,793","161,115,448","(21,221,508)","139,893,940","65,224,820"
,"98,577,195","4,581,668","2,358,104","105,516,967","(1,449,387)","104,067,580","160,936,844"
,-,-,-,-,-,-,-
,"238,268,007","10,645,200","27,545,574","276,458,781","(27,033,485)","249,425,296","710,857,956"
,"272,953,394","2,259,921","9,788,967","285,002,283","(10,280,117)","274,722,166","406,860,243"
,"139,360,860","10,327,500","1,490,753","151,179,113","(8,489,391)","142,689,723","431,484,338"
,"729,711,104","17,653,234","34,759,551","782,123,888","(25,190,872)","756,933,016","1,131,422,116"
,"138,060,874","6,007,212","20,762,898","164,830,985","(21,896,979)","142,934,006","65,224,820"
,"130,363,781","5,089,055","3,927,802","139,380,637","(2,675,908)","136,704,730","164,886,172"
,-,-,-,-,-,-,-
,"1,410,450,013","41,336,922","70,729,971","1,522,516,906","(68,533,266)","1,453,983,641","2,199,877,689"
