11.,Property and equipment,Year ended 31 December 2010,Column,Column,Column,Column,Column,Column
,,Land,Building,"Computer
equipment","Motor
vehicles","Furniture,
Fittings
and
equipment","Work in
progress",Total
,,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000,RwF ‘000
,cost or valuation,,,,,,,
,At 1 January 2010,"31,172","6,188,125","903,018","311,436","2,846,585",-,"10,280,336"
,Additions,-,"661,106","377,565","80,850","1,571,979","388,883","3,080,383"
,Revaluation,-,"10,215,060",-,-,-,-,"10,215,060"
,At 31 December 2010,"31,172","17,064,291","1,280,583","392,286","4,418,564","388,883","23,575,779"
,Depreciation,,,,,,,
,At 1 January 2010,-,"1,569,593","732,337","198,968","1,404,283",-,"3,905,181"
,Charge for the year,-,"319,041","259,248","48,329","730,563",-,"1,357,181"
,At 31 December 2010,-,"1,888,634","991,585","247,297","2,134,846",-,"5,262,362"
,net book value,,,,,,,
,At 31 December 2010,"31,172","15,175,657","288,998","144,989","2,283,718","388,883","18,313,417"
"Work in Progress in 2010 relates to the expenses incurred so far in constructing a branch for the bank in Gitarama. These are
payments to contractors, project managers and for Electrical and installation designs.
Valuation of the buildings was carried out by ArI-Co Sarl an approved Independent Valuer by the National Bank of Rwanda.
The basis of valuation was the Open Market Value (fair value); the value at which each property might be reasonably expected to
change hands assuming a willing buyer and seller. The effective date of revaluation is 30 November, 2010.",,,,,,,,
