Column,31 December 2019,31 December 2018
At close of the year,38.8%,44.5%
Average for the year,36.2%,43.0%
Maximum for the year,42.6%,48.1%
Minimum for the year,28.9%,39.8%
Minimum statutory requirement,20.0%,20.0%
