At 31 December 2018,Column,"Less than
12 months",Column,Column,"Over
12 months",Column,Total,Column,Column
Liabilities,,FRw’000,,,FRw’000,,FRw’000,,
Due to banks,,"54,160,261",,,-,,"54,160,261",,
Customer deposits,,"637,660,510",,,"5,038,289",,"642,698,799",,
Current income tax,,"7,441,557",,,-,,"7,441,556",,
Dividends payable,,"13,291,112",,,-,,"13,291,112",,
Insurance Liabilities,,"5,079,081",,,-,,"5,079,081",,
Lease liabili,ty,,"3,426,",696,,-,,"3,426",",696"
Other liabilities,,"26,030,583",,,"159,195",,"26,189,778",,
Long-term Finance,,"16,394,562",,,"29,582,855",,"45,977,418",,
Shareholders’ funds,,-,,,"220,810,886",,"220,810,886",,
Total Equity and Liabilities,,"631,121,867",,,"246,279,497",,"877,401,364",,
