RwfBillion,Mar-23,Mar-24,Mar-25,Change YoY
Net Interest Income,36.17,45.12,50.19,11.2%
Net Fee Income,10.66,12.91,7.50,-41.9%
Other Income,8.06,6.96,5.81,-16.5%
Total Operating Income,54.89,64.99,63.50,-2.3%
Operating Expenses,(21.14),(23.98),(21.55),-10.1%
Net Operating Income,33.75,41.01,41.95,2.3%
Net Impairment provisions,(7.73),(7.63),(6.33),-17.0%
Profit Before Tax,26.02,33.38,35.62,6.7%
