Column,31 December 2024,31 December 2023
At close of the year,42.9%,48.9%
Average for the year,45.2%,46.3%
Maximum for the year,49.5%,49.8%
Minimum for the year,39.7%,40.8%
Minimum statutory requirement,20.0%,20.0%
