Column,2017,Repayment,Revaluation,"Additional
Drawdown","Accrued
Interest",Interest,2016
,FRw’000,FRw’000,FRw’000,FRw’000,FRw’000,FRw’000,FRw’000
EIB Loan (8.01% - 11.4%),"24,078,272","2,863,772","(15,620)","17,899,073","287,245","1,418,103","8,771,347"
AFD Loan (Libor +3.74% pa),"7,508,156","2,135,000","485,430",-,"35,656","495,682","9,122,070"
AFDB Loan (Libor +4.15% pa),"5,244,710","1,281,000","236,435",-,"120,710","325,578","6,168,565"
EADB (Libor +6.65 pa),"2,146,776","2,135,000","212,745",-,"11,776","285,612","4,057,255"
PTA Loan (8% pa),"1,898,299","1,897,778","208,101",-,521,"241,645","3,587,455"
OFID Loan (Libor +4.0% pa),"17,714,041","1,552,727","252,296","12,810,000","245,860","934,726","5,958,612"
Shelter Afrique (6.44% pa),-,"7,366,764",- -,-,-,"102,051","7,366,764"
SBM -USD 10M (+4.5%libor),"11,598,921","1,601,250","705,000",-,"390,171","793,936","12,105,000"
BRD-KFW EGF (8% p.a),"653,000",-,-,"653,000",-,-,-
Total,"70,842,175","20,833,291","2,084,387","31,362,073","1,091,939","4,597,333","57,137,068"
