Name,Year of Birth,Position,Academic/ Professional Qualification
James GATERA,1957,Managing Director,"BA, BCOM"
Lawson NAIBO,1959,Chief Operating officer,"MBA (Strategic Management), BSc (Financial Services),
Qualified Accountant and Chartered Banker"
Louis RUGERINYANGE,1954,"Chief Shared Services
Officer",BA(Economics)
Flora NSINGA,1975,"Head of HR &
Administration",Bachelors Degree in Business Administration (BBA)
John Kaijuka BUGUNYA,1980,Head of Finance & Budget,"MBA (Accounting and Finance), ACCA, BBA"
Adolphe NGUNGA,1966,Head of Retail Banking,Bachelors Degree in Economics
Martin Kana MULISA,1970,Head of Corporate Banking,"MBA (Finance), Bachelors Degree in Management"
Innocent MUSOMINARI,1966,Head of Credit Department,BA (Economics)
Alex NGABONZIZA,1972,Head of ICT,"Bachelors Degree (Technical Electro-Mechanical Engineering
and IT)"
Frances IHOGOZA,1975,"Head of Corporate Affairs/
Company
Secretary","Masters Degree in Public Administration, BCOM"
Gerard NYANGEZI,1961,Head of Internal Audit,"BCOM, ACCA, ICPAR"
Yves GATSIMBANYI,1968,Head of Risk & Compliance,Bachelors Degree in Economics
