"Corporate
banking","Retail
banking","Central
treasury","BK
subsidiaries",Total
FRw’000,FRw’000,FRw’000,FRw’000,FRw’000
"823,248,563","104,287,038",-,-,"927,535,601"
-,-,"21,152,662",-,"21,152,662"
-,-,"101,621,779",-,"101,621,779"
-,-,"101,719,377","5,383,204","107,102,581"
-,-,"136,813,890","5,208,024","142,021,914"
,,"10,888,178","1,278,000","12,166,178"
,,"1,003,958","212,896","1,216,854"
"448,614,380","226,094,741","116,102,140",,"790,811,261"
,,"130,557,930",-,"130,557,930"
"25,607","356,299",355,,"382,261"
"32,490","269,782",664,,"302,936"
