Interbank Deposits,195,223,241,8.0%
Client Balances & Deposits,"1,374","1,642","1,680",2.3%
Borrowed Funds,104,115,113,-1.5%
Other Liabilities,81,103,109,5.4%
Shareholder's Equity,366,439,463,5.5%
Total liabilities & Shareholders' Equity,"2,120","2,522","2,606",3.3%
