Column,Column,2010,2009,2008
,,RwF 000,RwF 000,RwF 000
12.,customer deposits,,,
,Demand deposits,"97,436,848","76,261,072","65,019,968"
,term deposits,"33,179,653","29,916,046","23,732,944"
,Current accounts and other customer deposits,"5,061,245","3,305,686","5,085,567"
,total,"135,677,746","109,482,804","93,838,479"
13.,Due to banks,,,
,Due to local banks,"9,302,163","4,543,444","1,811,364"
,term deposits,"9,323,670","8,060,543","5,045,000"
,Finance borrowings,"294,803","2,500,000","443,089"
,total,"18,920,636","15,103,987","7,299,453"
14.,other payables,,,
,"other taxes payable (vAt, wHt and PAYe)","214,481","216,656","144,619"
,social security remittances,"68,816","55,676","47,549"
,other creditors,"12,014","7,245","17,628"
,transitory accounts,"6,527,086","4,090,286","1,894,583"
,total,"6,822,397","4,369,863","2,104,379"
15.,Provisions,,,
,Provision for litigations,"18,728","18,728","18,728"
"Provisions for litigations with respect to ongoing court cases with SONARWA (RwF 8,900,000), BRALIRWA (RwF 9,556,000)
and LWF (RwF 7,350,000).",,,,
,,2010,2009,2008
,,RwF 000,RwF 000,RwF 000
16.,equity,,,
,a) share capital,,,
,Authorised share capital:,,,
,"45,500 ordinary shares of RwF 110,000 each","5,005,000","5,005,000","5,005,000"
,Issued and fully paid:,,,
,"45,500 ordinary shares of RwF 110,000 each","5,005,000","5,005,000","5,005,000"
,b) revaluation,,,
,Buildings,"10,215,060",-,-
,Deferred tax (note 24(b)),"(3,064,518)",-,-
,,"7,150,542",-,-
,Revaluation reserve represents an increase in carrying value of buildings that were valued in year 2010,,,
,c) other capital reserves,,,
,Legal reserves,"2,800,890","2,272,254","1,706,854"
,special reserves,"2,886,124","2,357,488","1,792,088"
,other reserves,"7,848,749","6,262,540","1,738,983"
,total,"13,535,763","10,892,282","5,237,925"
,Retained earnings,,,
,Profit for the year,"6,178,582","5,286,963","5,654,357"
"The Bank transfers 20% of its profit after tax to special reserves (10% legal reserves and 10 % special reserves). These reserves
are not mandatory and neither are they distributable. Other reserves represent amounts transferred from retained earnings to
reserves that may be decided by the General Assembly.",,,,
