Column,"March 31st, 2021"
"Current price, FRw",233
"Market Cap, US$ mln",215.2
"Common shares outstanding, mlnshares",904.5
12-month high,260
12-month low,225
P/E 2020(based on current price),4.7x
P/BV2020 (based on current price),0.8x
"Dividend yield, 2019(based on current price)",6.1%
EPSQ1 2021,49.3
Ticker Code,BOK
Bloomberg,BOK
"FRw/USD Exchange Rate of 979.28 at March 31st, 2021 (BNR Middle Rate)",
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
