POOL,SUB-POOL,NUMBER OF SHARES,ALLOCATION %
Domestic Pool,Retail East Africans,"82,891,400",27.60%
,Employees and Directors,"7,200,000",2.40%
,QII-EA,"45,045,600",15.00 %
,QII-Rwanda,"45,045,600",15.00 %
International Pool,,"120,121,800",40.00%
TOTAL OFFER,,"300,304,400",100%
