Column,Column,Year ended 31 December,Column,Column
,31 march 2011,2010,2009,2008
Front office,264,266,203,200
Back office,152,157,84,82
support staff,31,31,16,13
total employees,447,454,303,295
Source: Bank of Kigali,,,,
