Structure,Board
Meetings held,6
Members,Attendance
Mr. Henry GAPERI 5/6,
Mr. François NKULIKIYIMFURA,6/6
Mr. Sudadi KAYITANA 2/2,
Mrs. Dative MUKESHIMANA,2/2
Mr. Apollo M. NKUNDA 2/2,
Mrs. Alphonsine NIYIGENA,1/2
Mrs. Perrine MUKANKUSI 1/2,
Mr. Manasse TWAHIRWA,4/4
Mr. J.M.V MULINDABIGWI 4/4,
Mr. Richard MUGISHA,1/4
