Stakeholder,Viewpoint,Relevant Topics,Comms Channels,Frequency
Customers,"The largest source of
our deposits and a main
source of revenue growth","Sustainable banking
practices and lending
activities, superior
customer experience,
world-class governance,
risk management","Regular digital and
written communication",As needed
Employees,"A core pillar of the
Group’s operations and
a key group within the
national community that
we work to serve","Empowered and
wellcompensated
workforce, material
contributors
to respective
communities, efficient
groups and integral
facilitators of value
creation solutions","Regular digital and
written communication",As needed
Investors,"Initial providers of
financial
capital and reviewers
of the Group’s financial
performance
and evolving strategy","Transparent and timely
financial and
operational disclosures,
robust governance
frameworks and
applications",Investor calls,Quarterly
,,,Investor conferences,Minimum 2/year
,,,"Regular digital and
written communication",As needed
,,,"Investor relations section
on the Group’swebsite","Regularly updated as
needed"
"Regulators
& policy makers","Determined by our listing
on the Rwanda Stock
Exchange (RSE)
and the Nairobi Stock
Exchange (NSE)","Transparent and timely
financial and operational
disclosures and other
mandates as required
by each authority, public
policy
implementation",Financial Earnings,Quarterly
