name,cost of Investment (rwF millions)
Banque Rwandaise de Developpement s.A.,22
Banque de l’Habitat du Rwanda s.A.,75
Banque de Développement des etats de Grands Lacs s.A,5
Magasins Generaux de Rwanda s.A.,5
société des transports Internationaux,20
King Faycal Hospital,47
societie de Interbancaire de Monetique et de telecompensation,166
totAL,340
