CAR (Tier One),12.5%
Total CAR,15%
Liquidity Coverage Ratio,> 100%
Cash Reserve Ratio,5% of total deposits
Lending in foreign currency,"Restricted to legal
entities - exporters or
non residents with FX
inflows"
