"“Gor” or “Government” or “Promoter” or
“Vendor”",the Government of the Republic of Rwanda or the state of Rwanda
“Hr“,Human Resources
“Ict“,Information and Communications technology
“IFrs”,International Financial Reporting standards
‘’ImF’’,International Monetary Fund
“International Pool”,the pool of shares set aside for application by Foreign Investors
“Issued shares”,"the 500,500,000 shares issued by the Bank as at the date of this Prospectus"
“It”,Information technology
“Lead sponsoring Broker”,African Alliance Rwanda Limited
"“Lead transaction Advisor” or “sole
Bookrunner”",Renaissance Capital (Kenya) Limited
“Legal Advisors”,Mboya & wangong’u Advocates and RR Associates & Co. Advocates
“Listing”,Admission of the shares to the official list of the Rwanda stock exchange
“mFI”,Micro-finance Institution
“mInecoFIn”,"Ministry of Finance and economic Planning , Rwanda"
‘’nBA’’,non-Business Associations
‘’new shares”,"166,837,000 shares offered by the Bank"
‘’nGo’’,non- Governmental organization
‘’nIsr’’,national Institute of statistics of Rwanda
“nPL”,non Performing Loans
“ocIr café”,national Coffee Board
“ocIr the”,national tea Board
“offer”,the offer for sale to the general public of the offer shares
"""offer shares""",new shares and sale shares
“office national des Postes”,national Post office
“opening Date”,30 June 2011
“P/BV”,Price-book value ratio
‘’Pe’’,Price-earnings ratio
“Pos”,Point of sale
“Prospectus”,this Prospectus dated 30 June 2011
‘’Prospectus Instructions’’,"Instructions of the Registrar General no. 01/2010/oRG of 12/04/2010 relating to the form and content
of a Prospectus as amended from time to time"
“Qualified Institutional Investor” or “QII”,"Any entity including Collective Investment schemes established in the eAC and licensed by the
relevant capital markets, insurance or retirement benefits regulator to collect and manage funds on
behalf of third parties"
“rAmA”,La Rwandaise D’Assurance Maladie (national Insurance Health Fund)
“rDB”,Rwanda Development Board
“receiving Bank”,Bank of Kigali Limited
“registrars”,CDsC Rwanda
“reporting Accountants”,ernst & Young (Rwanda) sARL
“regulation s”,Regulation s under the securities Act
‘’retail east Africans’’,east Africans other than QIIs
“rs”,Rwanda standard as set and/or administered by the Rwanda Bureau of standards
“rse”,Rwanda stock exchange
“rwanda otc market” or “rotc market”,Rwanda over the Counter Market
“rwF”,"Rwandan Francs, the official currency of the Republic of Rwanda"
“sAcco”,savings and Credit Cooperative organization
“sale shares”,"133,467,400 shares on sale by GoR"
"""securities Act""",United states securities Act of 1933
“shares”,ordinary shares in the capital of the Bank
“shareholders”,Persons who are on the register of members at the relevant time
‘’sme’’,small and Medium enterprise
“supplementary capital” or “tier II capital,"Includes 25% of revaluation reserves, subordinated debt, permanent debt and any other form of
capital as determined by the BnR"
“time”,"Any reference to time in this Prospectus shall refer to 2 hours in advance of Greenwich Mean time
(GMt) being the local time in Rwanda"
“total capital” or “net Worth”,Core Capital plus supplementary Capital
"“transaction Advisors""",the entities listed from page x as advisors to the Bank on Initial Public offer and Listing
"“usD” , “us Dollars” , “us cents”, “us$” or “$”",the official currency of the United states of America
“VIsA©”,Registered trademark of visa Inc.
“ZAr”,"south African Rand, official currency of the Republic of south Africa"
