USD,Euro,GBP,"Other foreign
currencies",Total
"111,500,666","34,753,654","1,084,434","991,596","148,330,350"
"132,146,933","17,890","1,128",261,"132,166,212"
"2,127,458","109,010",27,68,"2,236,564"
"13,798,959",-,-,-,"13,798,959"
"259,574,017","34,880,553","1,085,589","991,926","296,532,085"
"41,506,861","8,154,471","2,890",-,"49,664,223"
"212,943,439","23,430,040","1,037,414","349,735","237,760,627"
"1,252,994",318,181,755,"1,254,248"
"19,802,989",-,-,-,"19,802,989"
"275,506,283","31,584,830","1,040,485","350,489","308,482,087"
"(15,932,266)","3,295,724","45,104","641,436","(11,950,003)"
