Column,2014,2013,2012,2011,2010
Profitability,,,,,
,4.0%,,,,
,22.9%,,,,
,9.9%,,,,
,20.5%,,,,
,24.4%,,,,
,3.4%,,,,
Efficiency,,,,,
,47.9%,,,,
,6.2%,,,,
,51.8%,,,,
,3.2%,,,,
,24.8%,,,,
,31.5%,,,,
,12.9%,,,,
Liquidity,,,,,
,48.4%,,,,
,45.7%,,,,
,64.9%,,,,
,56.1%,,,,
,70.4%,,,,
,86.5%,,,,
,4.5%,,,,
,51.1%,,,,
,72.6%,,,,
,87.7%,,,,
,4.4,,,,
Asset Quality,,,,,
,6.6%,,,,
,81.8%,,,,
,5.4%,,,,
,5.7%,,,,
,18.0%,,,,
,3.3%,,,,
Capital Adequacy,,,,,
,25.8%,,,,
,26.3%,,,,
,428.4%,,,,
,53.5%,,,,
,3.5%,,,,
Market Sensitivity,,,,,
,(20.4%),,,,
,8.4%,,,,
,87.5%,,,,
,3.3%,,,,
,39.9%,,,,
Selected Operating Data,,,,,
,"1,019",,,,
,0.5,,,,
,70,,,,
,9,,,,
,76,,,,
,656,,,,
,"266,239",,,,
,861,,,,
,"54,544",,,,
