Column,"share
capital","Legal
reserves","special
reserves","retained
earnings","others
reserves","revaluation
surplus",total
,rwF’000,rwF’000,rwF’000,rwF’000,rwF’000,rwF’000,rwF’000
At 1 January 2010,"5,005,000","2,272,254","2,357,488","5,286,963","6,262,540",-,"21,184,245"
Appropriation of retained profits,-,"528,636","528,636","(2,643,481)","1,586,209",,
total comprehensive income:,,,,,,,
other comprehensive income,-,-,-,-,-,"7,150,542","7,150,542"
Profit for the year,-,-,-,"6,178,582",-,,"6,178,582"
Dividends paid (note 28),-,-,-,"(2,643,482)",-,-,"(2,643,482)"
At 31 December 2010,"5,005,000","2,800,890","2,886,124","6,178,582","7,848,749","7,150,542","31,869,887"
At 1 January 2009,"5,005,000","1,706,854","1,792,088","5,654,357","1,738,983",,"15,897,282"
Appropriation of retained profits,-,"565,400","565,400","(5,654,357)","4,523,557",-,-
total comprehensive income:,,,,,,,
other comprehensive income,-,-,-,-,-,-,-
Profit for the year,-,-,-,"5,286,963",-,-,"5,286,963"
At 31 December 2009,"5,005,000","2,272,254","2,357,488","5,286,963","6,262,540",-,"21,184,245"
At 1 January 2008,"5,005,000","1,279,854","1,365,088","4,266,248","886,474",-,"12,802,664"
Appropriation of retained profits,-,"427,000","427,000","(1,706,509)","852,509",-,-
total comprehensive income,-,-,-,-,-,-,-
other comprehensive income,-,-,-,-,-,-,-
Profit for the year,-,-,-,"5,654,357",-,-,"5,654,357"
Dividends paid (note 28),-,-,-,"(2,559,739)",-,-,"(2,559,739)"
At 31 December 2008,"5,005,000","1,706,854","1,792,088","5,654,357","1,738,983",-,"15,897,282"
