N◦,Director,Column,Column,Directorship type,Column,Date of appointment,Column
1,Marc Holtzman,,,Independent,,October 2015,
2,Richard Tusabe,,,Non-executive,,13 November 2018,
3,Lilian Kyatengwa,,,Independent,,19 September 2018,
4,Reuben Karemera,,,Independent,,March 2014,
5,Julien Kavaruganda,,,Independent,,March 2012,
6,Alline Kabbatende,,,Independent,,18 May 2018,
7,Risper Alaro Mukoto,,,Independent,,17 February 2019,
8,Rod,Michael Re,ynolds,Inde,pendent,6 Februar,y 2019
