mAIn DestInAtIon oF eXPorts 2009,%,mAIn orIGIn oF ImPorts 2009,%
Kenya,33.5,Kenya,16.6
Democratic Republic of Congo,13.4,Uganda,15.0
China,7.0,UAe,6.9
thailand,6.0,China,6.6
Source: EIU. Derived from partners’ trade returns,,,
