Structure,Category,Board,Audit,Risk,Credit,ALCO,HR
Lado Gurgenidze,Chairman,4/4,,,,,
Daniel Ufitikirezi*,Vice Chairman,3/4,,3/4,7/11,3/4,
Reuben Karemera*,Non Executive Member,3/4,,2/4,8/11,,2/3
Apollo M. Nkunda,Non Executive Member,4/4,4/4,,,,3/3
Marc Holtzman,Non Executive Member,3/4,,,,,2/3
Lillian Igihozo,Non Executive Member,4/4,3/4,,,,3/3
Alphonsine Niyigena,Non Executive Member,4/4,4/4,,11/11,4/4,
Julien Kavaruganda,Non Executive Member,4/4,,4/4,,4/4,
