USD million,2016,2017,2018,2019,2020,9M 2021
Total Assets,791.0,851.5,983.6,"1,105.9","1,333.5","1,542.6"
Net Loans,478.1,552.3,636.9,735.8,870.4,985.3
Client Deposits,519.2,533.0,596.4,697.4,808.7,924.1
Shareholders Equity,134.4,143.7,218.3,239.6,265.2,277.0
Net Income*,25.7,27.3,30.7,40.5,39.3,48.9
