Column,30 June 2017
"Current price, FRw",245
"Market Cap, US$ mln",198
Free float,45%
Free float in US$ mln,92.4
Average daily turnover in US$ mln,0.12
"Common shares outstanding, mln shares",673.6
12-month high,275
12-month low,228
P/E 1H 2017 (based on current price),10.72x
P/BV 1H 2017 (based on current price),1.15x
"Dividend yield, 2016(based on current price)",5.4%
"Basic EPS, June 2017 (annualized)",33.8
Ticker Code,BOK
Bloomberg,BOK. RW
FRw/USD Exchange Rate of 830.2 as at30 June 2017 (BNR Middle Rate),
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
