Column,31 December 2016
"Current price, FRw",243
"Market Cap, US$ mln",187
Free float,45%
Free float in US$ mln,84.2
Average daily turnover in US$ mln,0.12
"Common shares outstanding, mlnshares",672.2
12-month high,267
12-month low,264
P/E 2016(based on current price),7.48x
P/BV 2016 (based on current price),1.38x
"Dividend yield, 2015(based on current price)",5.1%
"EPS, 2016",30.9
Ticker Code,BOK
Bloomberg,BOK. RW
FRw/USD Exchange Rate of 807.0 as at31 December 2016 (BNR Middle Rate),
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
