Column,Issued shares,Column
Shareholder,Number of Shares,% of Issued Shares
Government of Rwanda,"198,534,600",29.75%
Rwanda Social Security Board,"184,934,300",27.72%
Other State Owned Entities,"698,900",0.10%
Local Institutional Investors,"12,544,000",1.88%
Regional Institutional Investors,"23,310,400",3.49%
International Institutional Investors,"155,603,400",23.32%
Employees and Directors,"6,284,800",0.94%
Retail Investors,"85,426,600",12.80%
Total,"667,337,000",100.00%
