Less than 30 days,31-90 days,Total
Rwf’000,Rwf’000,Rwf’000
"4,481,677","608,031","5,089,708"
"21,228,321","1,885,345","23,113,666"
"27,198,348","323,693","27,522,041"
"17,725,754","473,007","18,198,761"
"36,586,618","3,882,688","40,469,306"
"3,774,525","633,809","4,408,334"
"877,145","90,591","967,736"
"111,872,388","7,897,164","119,769,551"
