Award,Bestowed by
"Banker of the Year 2009 and
2010","Financial Times -
London"
"Best Bank in Rwanda in 2009
and 2010",Emeafinance
"Golden Award for Quality and
Business Prestige, 2010","Otherways
Management and
Consulting, France"
"Best Tax Payer of the Year
2002-2009","Rwanda Revenue
Authority"
