Column,Note,"31 December 2019
FRw’000","31 December 2018
FRw’000"
Interest income,8,"116,517,161","93,997,805"
Interest expense,9,"(21,743,716)","(18,199,106)"
Net interest income,,"94,773,445","75,798,699"
Net fees and commission income,10,"14,470,680","16,523,167"
Foreign exchange related income,11,"8,783,166","9,188,503"
Gross earned insurance premiums,12,"6,671,948","4,855,521"
Other operating income,13,"155,409","392,387"
"Operating income before impairment losses and
claims",,"124,854,648","106,758,277"
Credit impairment losses - loans,14,"(17,886,085)","(11,409,582)"
Credit impairment losses – other assets,16,"(492,925)","(2,523,649)"
Premium ceded to reinsurance,12,"(1,515,824)","(922,870)"
Insurance benefits and claims paid,15,"(2,368,177)","(1,785,522)"
Net operating income,,"102,591,637",
Employee benefits expense,16(i),"(24,640,029)","(22,818,679)"
Depreciation and amortisation,16(ii),"(6,331,565)","(4,866,655)"
Administration and general expenses,16(iii),"(19,245,083)","(19,829,695)"
Total operating expenses,,"(50,216,677)","(47,515,029)"
Operating profit,,"52,374,960","42,601,625"
Finance cost,35,"(282,354)",-
Profit before income tax,,"52,092,606","42,601,625"
Income tax expense,17,"(14,784,270)","(15,235,009)"
Profit for the year,,"37,308,336","27,366,616"
Other comprehensive income:,,,
Items that may be subsequently reclassified to profit or loss,,-,-
"Items that will not be subsequently reclassified to profit or
loss",,-,-
Total comprehensive income for the year,,"37,308,336","27,366,616"
Attributable to:,,,
Equity holders of the parent,,"36,924,658","27,278,184"
Non-controlling interests,,"383,678","88,432"
Basic and Diluted earnings per share in FRw,19,41.4,39.5
