Column,"September 30th, 2020"
"Current price, FRw",233
"Market Cap, US$ mln",220.1
"Common shares outstanding, mlnshares",904.5
12-month high,275
12-month low,233
P/E 2020(based on current price),6.0x
P/BV2020 (based on current price),1.0x
"Dividend yield, 2019(based on current price)",5.3%
"EPS, 9M 2020",40.7
Ticker Code,BOK
Bloomberg,BOK
"FRw/USD Exchange Rate of 956.8at September 30th, 2020 (BNR Middle Rate)",
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
