Column,09 May 2014
"Current price, RwF",318
"Market Cap, US$ mln",312
Free float,45%
Free float in US$ mln,141.4
Average daily traded volume in US$ mln,0.1
"Common shares outstanding, mln shares",670.4
12-month high,365
12-month low,170
P/E 2014 (based on current price),12.36x
P/BV 2014( based on current price),2.6x
"Dividend yield, 2013",4.6%
"Dividend yield, 2014( based on current price)",4.0%
Ticker Code,BOK
Bloomberg,BOK. RW
Rwf/USD Exchange Rate of 680.131 as at 09 May 2014,
*Capital gains on RSE transactions are exempted from Capital Gains Tax,
