Column,Column,31/03/2011,31/03/2010,31/12/2010
,,rwf ‘000,rwf ‘000,rwf ‘000
6,"ProPertY, PLAnt AnD eQuIPment",,,
,Cost,,,
,At 1 January,"23,575,779","10,280,336","10,280,336"
,Additions,"390,840","235,549","3,080,383"
,Revaluation,,,"10,215,060"
,At 31 march /31 December,"23,966,619","10,515,885","23,575,779"
,Depreciation,,,
,At 1 January,"5,262,362","3,905,181","3,905,181"
,Charge for the Period / Year,"420,249","204,096","1,357,181"
,At 31 March /31 December,"5,682,611","4,109,277","5,262,362"
,net book value,"18,284,008","6,406,608","18,313,417"
7,customer deposits,,,
,Demand deposits,"106,287,873","80,198,516","97,436,848"
,term deposits,"35,605,974","27,269,634","33,179,653"
,other current accounts,"1,972,089","1,698,575","1,968,734"
,Collateral deposits,"2,887,548","3,586,693","2,530,936"
,Payables in transit,"719,975","973,273","253,028"
,Interest payable,"192,939","94,885","308,547"
,total,"147,666,398","113,821,576","135,677,746"
8,other payables,,,
,"other taxes payable (vAt, wHt and PAYe)","521,299","269,450","214,481"
,social security remittances,"123,310","105,243","68,816"
,other creditors,"14,003","2,645,196","12,014"
,transitory accounts,"9,330,510","6,395,458","6,527,086"
,total,"9,989,122","9,415,347","6,822,397"
9,other capital reserve,,,
,Legal reserves,"3,419,506","2,800,890","2,800,890"
,special reserves,"3,504,740","2,886,124","2,886,124"
,other reserves,"11,878,883","7,848,749","7,848,749"
,total,"18,803,129","13,535,763","13,535,763"
"A general loan loss provision of Rwf (‘000) 1,000,000 has been adjusted against other reserves in the quarter ended 31 March
2011.",,,,
10,share capital,,,
,Authorized:,,,
,"45,500 ordinary shares","5,005,000","5,005,000","5,005,000"
,Issued and fully paid:,,,
,"45,500 ordinary shares","5,005,000","5,005,000","5,005,000"
