Entity,Total Assets Net Loans Customer Deposits Equity,Column,Column,Column,Column,Column,Column,Column
,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank
,38.3%,1,45.5%,1,35.2%,1,42.5%,1
,15.4%,2,18.3%,2,14.5%,2,15.9%,2
,11.9%,3,9.7%,3,13.9%,3,8.8%,4
,10.2%,4,9.3%,4,9.7%,4,9.5%,3
,6.1%,5,5.6%,5,6.2%,6,6.3%,5
,5.2%,6,2.1%,8,6.5%,5,4.2%,6
,3.9%,7,1.7%,9,5.1%,7,3.6%,7
,3.3%,8,2.7%,7,2.9%,9,2.6%,10
,3.1%,9,3.5%,6,2.9%,10,3.3%,9
,2.6%,10,1.5%,10,3.2%,8,3.3%,8
