Column,Column,Column,"Amount owed by
related parties","Amount owed to
related parties",Column,Column
,"Interest from
related parties","Interest to
related parties",Balance as at 31,"Maximum
balance during
the year",Balance as at 31,"Maximum
balance during
the year"
,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000,RwF’000
December 2010,-,-,-,"12,646,706","10,989,035","1,040,272"
December 2009,-,-,-,"9,507,157","9,507,157","518,125"
December 2008,-,-,-,-,-,-
