Column,Column,2010,2009,2008
(a),Commitments and guarantees,RwF 000,RwF 000,RwF 000
,Acceptances and Letters of Credit issued,"8,709,523","12,266,876","18,271,347"
,Guarantee Commitments issued,"15,360,031","12,241,776","8,403,161"
,other commitments not recognised in the statement of financial position,"868,072","966,416","454,312"
,total,"24,937,626","25,475,068","27,128,820"
