Column,Column,31/03/2011,31/03/2010,31/12/2010
,,rwf ‘000,rwf ‘000,rwf ‘000
1,cash and balances with central banks,,,
,Balances in current accounts,"8,186,912","4,430,048","6,333,182"
,short term investment with BnR,"13,381,751","11,570,000","16,229,323"
,total,"21,568,663","16,000,048","22,562,505"
2,Loans and advances to customers,,,
a),Loans and advances to customers (gross),"111,014,259","89,409,832","105,526,673"
,Less: Allowance for impairment losses (2 b),"(6,112,593)","(4,900,666)","(4,124,016)"
,net loans and advances,"104,901,666","84,509,166","101,402,657"
b),Provisions,,,
,Impairment allowance for loans and advances to customers,,,
,Impairment allowance for loans and advances,"4,912,836","4,157,027","3,198,058"
,Interest accrued on impaired loans and advances,"1,199,757","743,639","925,958"
,total,"6,112,593","4,900,666","4,124,016"
3,Financial investments – held-to-maturity,,,
,treasury bills,"9,985,720","4,017,613","1,443,672"
,treasury bonds,"2,225,362","4,140,521","3,780,723"
,total,"12,211,082","8,158,134","5,224,395"
4,Available for sale investments,,,
,Banque Rwandaise de Développement s.A,"21,975","21,975","21,975"
,Banque de l’Habitat du Rwanda s.A,"75,000","75,000","75,000"
,Banque de Développement des etats de Grands Lacs s.A,0,0,0
,Magasins Généraux du Rwanda s.A,"5,000","5,000","5,000"
,société des transports Internationaux,0,0,0
,King Faycal Hospital,0,"46,733",0
,société Interbancaire de Monétique et de télécompensation,"166,400","166,400","166,400"
,total,"268,375","315,108","268,375"
5,Intangible assets,,,
,Cost,,,
,At 1 January,"479,136","134,822","134,822"
,Additions,850,"11,019","344,314"
,At 31 march /31 December,"479,986","145,841","479,136"
,Amortisation,,,
,At 1 January,"298,532","117,930","117,930"
,Charge for the Period / Year,"22,682","3,489","180,602"
,At 31 march /31 December,"321,214","121,419","298,532"
,net book value,"158,772","24,422","180,604"
