Column,3 September 2012
"Current price, RwF",130
"Market Cap, US$ mln",141
Free float,45%
Free float in US$ mln,66.5
Average daily traded volume in US$ mln,0.13
"Common shares outstanding, mlnshares",667.3
12-month high,191
12-month low,118
P/E YE 2012F,7.2x
P/BV YE 2012F,1.4x
"Dividend yield, 2011A",5.2%
"Dividend yield, 2012F",7.7%
Ticker Code,BOK
Bloomberg,BOK. RW
Rwf/USD Exchange Rate (e-o-p) of 614.6 as at 3 September 2012,
*Capitalgains on the RSE transactions are exempted from Capital Gains Tax,
