Interbank Deposits,195,223,241,8.0%
Client Balances & Deposits,"1,387","1,656","1,692",2.2%
Borrowed Funds,104,112,111,-1.2%
Other Liabilities,61,98,114,16.0%
Shareholder's Equity,315,377,393,4.4%
Total liabilities & Shareholders' Equity,"2,063","2,466","2,551",3.5%
