Corporate,"54,739,876",Column,"74,604,993",Column,Column
Small and medium enterprises,"23,185,271",,"12,095,064",,
Non-profit entities,"60,988",,"111,854",,
Total guarantees and commitments,"77,986,135",,"74,604,993",,
Expected credit loss (23(c)),"(110,753)",,"(2,306)",,
,,"77,875,382",,7,"4,602,686"
