reGuLAtIon,reQuIrement,comPLIAnce
"Bnr reg. 11/2009
Capital Adequacy"," total Capital of 15% of total risk weighted assets
 Core Capital of 10% of total risk weighted assets","total Capital to Risk weighted assets was 23.1% as of
31 March 2011"
"Bnr reg. 06/2008
Corporate Governance","establishes the roles of the shareholders, Directors,
Management, Internal Audit and Compliance
functions in the governance of the Bank as well
the mandate and terms of reference of the Board
Committees","the Bank’s Corporate Governance is in line with BnR
Guidelines and all the necessary Board Committees
are in place. the Risk and Compliance and Internal
Audit function are independent and report to the
Board of Directors"
"Bnr reg. 05/2008
Credit Concentration and Large
exposure"," Large exposures are exposures exceeding 10% of
net worth
 Aggregate large exposures not exceeding 8 times
net worth
 single obligor limit of 25% of net worth","Fully compliant with the limit on single obligor as of
31 May 2011"
"Instruction no 1/2009
Reserve Requirements",5% of total deposits," the Bank has always fully complied with the BnR
reserve requirement of 5% of total deposits.
 Compliance is monitored on a daily basis by the
ALCo management committee"
"Bnr reg. 06/2008
external Auditors",term of office of external auditors shall be three years,"ernst & Young’s term of office was extended with the
approval from BnR"
"Instruction no 4/2005
Lending in Foreign Currency","Lending in foreign currency is restricted to exporters
and approval must be granted by the BnR","Bank lending is restricted to exporters which is
subject to BnR approval."
"Law no 07/2008
Change in shareholding structure","Approval from BnR must be sought before a natural
person or legal entity acquires more than 5% of the
shareholding of the Bank",this has not been applicable to date.
"Bnr reg. 04/2008
Insider Lending"," Lending to a single insider shall not exceed 5% of
its net worth
 Aggregate loans and commitments to insiders
shall not exceed 25% of its net worth
 Aggregate loans and commitments to employees
of the Bank shall not exceed 15% of its net worth","As of 31 March 2011, the Bank’s aggregate insider
lending amounted to 6% of its net worth"
"Bnr reg. 10/200911
Liquidity Ratio","Maintain minimum liquid assets / deposits of 20%
denominated in local and foreign currencies on a
weekly average basis","the Bank’s liquidity ratio was 44.6% as of 31 March
2011"
"Law no 47/2008
Money Laundering and Financing
terrorism",Prohibits money laundering and financing of terrorism,"the Bank has implemented an AML and KYC
policies and procedures and compliance is carefully
monitored by Management"
"Bnr reg. 10/2009
Credit Classification and Provisioning","Classifies loans into the following classes and
requires provision on the gross amounts net of
collateral as follows:
 standard (31 – 60 days) – 0%
 watch (61 – 90 days) – 0%
 substandard (91 -180 days) – 20%
 Doubtful (181 – 360 days) – 50%
 Loss (over 360 days) – 100%
the provision is 100% tax deductible if compliant with
BnR requirements.","the Bank complies with BnR’s classification and
provisioning policy"
