Column,"31 December 2019
FRw’000","31 December 2018
FRw’000"
At 1 January,"4,095,815","6,900,698"
Tax paid during the year,"(17,479,070)","(20,109,110)"
Tax charge for the year,"20,810,891","16,666,002"
Prior year understatement,"13,920","638,225"
At 31 December,"7,441,556","4,095,815"
