Rwf’000,2024,Column,Column,2023,Column,Column
,Assets,Liabilities,Net,Assets,Liabilities,Net
,,"83,872
1,138,828
662,122
828,609
6,443
134,114
90,505
551,621",,"2,509
210,930
66,957
57,569
2,204
2,947
2,599
52,833",,
,"2,309",,"81,563",,"91,898",
,"188,947",,"949,881",,"4,765,092",
,"53,554",,"608,568",,"823,251",
,"102,164",,"726,445",,"534,184",
,"1,679",,"4,764",,"4,880",
,"17,834",,"116,280",,"163,155",
,"1,893",,"88,612",,"128,796",
,"99,522",,"452,099",,"(226,580)",
,"467,903","3,496,110","3,028,212","398,548","6,284,675",
