Structure,Board,"Audit & Risk
Committee","Credit
Committee","ALCO
committee","Nominations
&Remuneration
Committee"
Meetings held,4,4,12,4,2
Members,Attendance,Attendance,Attendance,Attendance,Attendance
Lado GURGENIDZE,4/4,X,X,X,X
Marc HOLTZMAN,3/4,X,X,x,x
Caleb RWAMUGANZA,2/2,X,X,X,X
Apollo NKUNDA,4/4,4/4,X,X,2/2
Perrine MUKANKUSI,4/4,X,X,4/4,2/2
Sudadi KAYITANA,4/4,4/4,12/12,X,X
Alphonsine NIYIGENA,4/4,4/4,12/12,X,X
Dativa MUKESHIMANA,4/4,2/4,X,4/4,X
