Sustained Growth,Profits & Margins,Enhancing Value
"Total Assets: RWF 2,365 Bn
(+14.7% YTD)","Profit After Tax: RWF 67.6Bn
(+24.3% YoY)","Shareholder’s Equity: RWF 363Bn
(+15% YTD)"
"Loans & Advances: RWF 1,436Bn
(+15.4% YTD)","Cost-to-Income Ratio: 37.2%
(Q3-23: 41.1%)","Return on Assets: 4.1%
(3.9% in 2023)"
"Customer Deposits: RWF 1,556Bn
(+12.1% YTD)","Net Interest Margin of 9.2%
(Q3-23: 9.4%)","NPL Ratio: 4.8%
(H1-24: 5.8% |
FY-23: 4.5%)"
