Column,30 September 2016
"Current price, FRw",265
"Market Cap, US$ mln",219
Free float,45%
Free float in US$ mln,108.1
Average daily turnover in US$ mln,0.44
"Common shares outstanding, mlnshares",672.2
12-month high,267
12-month low,264
P/E 2016(based on current price),7.66x
P/BV 2016 (based on current price),1.58x
"Dividend yield, 2015(based on current price)",4.3%
"EPS, 2016",33.1
Ticker Code,BOK
Bloomberg,BOK. RW
"FRw/USD Exchange Rate of 810.09 as at30 September 2016 (BNR Middle
Rate)",
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
