Column,2004,2005,2006,2007,2008
Performance,"1,591","2,367","2,963","4,266","5,654"
Total assets,"62,226","70,472","88,041","122,857","121,871"
Net loans,"26,689","33,006","37,841","48,659","72,094"
Shareholders equity,"5,457","8,197","9,975","12,803","15,897"
