offer statistics,Column,Column
offer Price per offer share,RwF,125.00
Par value of each offer share,RwF,10.00
Authorised share capital of the Bank,RwF,"7,024,600,000"
total number of issued shares,,"500,500,000"
number of new shares,,"166,837,000"
number of sale shares,,"133,467,400"
total number of offer shares (new shares plus sale shares),,"300,304,400"
Gross proceeds of the offer,RwF,"37,538,050,000"
net profits for the twelve (12) month period ended 31.12.2010,RwF Millions,"6,179"
"ePs for the twelve (12) month period ended 31.12.2010 (based on
500,500,000 shares following a share split)",RwF / share,12.34
"Implied Pe (historical) based on the ePs for the twelve (12) month
period ended 31.12.2010",,10.1x
"Forecast full year net profits for the twelve months ending on
31.12.2011",RwF Millions,"7,700"
"Forecast ePs as at 31.12.2011 (based on increased number of issued
shares assuming full subscription of new shares)",RwF / share,11.54
Implied Pe as at 31.12.2011 based on the Forecast ePs,,10.8x
