offer timetable,Column
International Bookbuilding opens (International Pool),17 June 2011
International Bookbuilding closes (International Pool),23 June 2011
opening of offer Period (Domestic Pool),30 June 2011
Close of offer Period (Domestic Pool),29 July 2011
Announcement of allotment results,12 August 2011
Last date for payment of shares under International Pool and QII sub-pools,18 August 2011
Dispatch of CsD statements and commencement of collection of refunds from AsAs,22 August 2011
"Admission to Listing, and commencement of trading of the shares, on the Rwanda stock
exchange",29 August 2011
