Board Members,Category,Board,Audit,Risk,Credit,ALCO,HR
Marc Holtzman,Chairman,5/5,,,,,3/4
Jonathan Gatera,Vice Chairman,4/5,,4/4,8/9,,4/4
Reuben Karemera,Non- Executive Member,5/5,,,8/9,4/4,4/4
Lillian Igihozo,Non- Executive Member,5/5,4/4,,9/9,4/4,
Alphonsine Niyigena,Non-Executive Member,5/5,4/4,4/4,,4/4,
Julien Kavaruganda,Non -Executive Member,5/5,4/4,4/4,,4/4,
Kenneth Ofori-Atta,Non- Executive Member,3/5,,,,,3/4
