"31 December
2021"
FRw’000
"76,880,668"
"3,708,361"
"1,969,547"
"829,679"
-
"4,150,577"
"187,777"
-
"34,068,753"
"121,795,362"
"(173,236,264)"
"(3,774,903)"
"(8,204,503)"
"238,050"
"183,683,365"
"9,189,843"
-
"2,732,045"
"3,065,936"
-
"(21,700,464)"
"113,788,467"
"(3,833,517)"
"(3,778,946)"
-
"(22,093,218)"
"(537,617)"
"(6,597,930)"
-
"(36,841,228)"
"(12,305,031)"
"2,150,000"
"(15,214,460)"
"(788,435)"
"(26,157,926)"
"50,789,313"
"2,730,389"
"130,312,678"
"183,832,380"
"(5,066,184)"
"176,572,535"
"17,605,905"
