STATISTIC,2006,2007,2008,2009,2010
nominal GDP (Us$ in billions),3.1,3.7,4.7,5.3,5.6
Real GDP Growth,9.2%,7.7%,11.5%,6.1%,7.5%
Population (millions),9.2,9.6,9.8,10.1,10.4
GDP per Capita (Us$),333,391,479,520,540
Consumer Price Inflation (annual average),8.8%,9.1%,15.4%,10.3%,2.3%
exchange Rate RwF/ 1Us$ (annual average),558,547,547,568,583
Source: NISR and BNR,,,,,
