"Weighted
interest rate",Column,+/- 100bp
,FRw’000,FRw’000
1.8%,"107,102,581","1,071,026"
9.9%,"142,021,914","1,420,219"
15.7%,"851,453,130","8,514,531"
,"1,100,577,625","11,005,776"
6.1%,"103,067,294","1,030,673"
7.6%,"364,760,128","3,647,601"
8.9%,"64,940,879","649,409"
,"532,768,301","5,327,683"
,,"5,678,093"
