Year,Milestone
2000,started offering western Union international money transfers
2005,Launched the internet banking service
2007,the GoR acquired the 50% equity interest in the Bank from Belgolaise
2008,the Bank’s modern headquarters in downtown Kigali are completed
2009,"the Bank signed a €5 million credit line agreement with eIB for private sector sMe lending
International Directors elected to the Board
new strategy formulated, calling for the Bank to pursue branch ubiquity and universal banking
Bank of the Year (Rwanda) Award received from The Banker magazine
Best Bank in Rwanda received from emeafinance magazine"
2010,"opened 15 new branches and service centres
Rated A+/A1/ by Global Credit Rating Company (south Africa)
Received the Bank of the Year (Rwanda) and Best bank in Rwanda awards from the Banker and emeafinance, respectively,
for the second consecutive year"
2011,signed a Us$20 million dollar credit line and a €6 million sub-risk participation fund with the ADF
