To Expansion and Growth,Column,Column,Column,Column
Retained Income,"24,250,418",28.2%,"16,419,970",22.6%
Depreciation and amortisation,"6,331,565",7.4%,"4,866,655",6.7%
,"30,581,983",35.6%,"21,286,625",29.2%
