Column,2016,2015,2014,2013,2012,2011,2010
Profitability,,,,,,,
,3.5%,,,,,,
,20.0%,,,,,,
,10.5%,,,,,,
,17.6%,,,,,,
,22.9%,,,,,,
,3.3%,,,,,,
Efficiency,,,,,,,
,47.5%,,,,,,
,6.1%,,,,,,
,38.5%,,,,,,
,2.3%,,,,,,
,18.3%,,,,,,
,27.0%,,,,,,
,12.8%,,,,,,
Liquidity,,,,,,,
,60.4%,,,,,,
,32.8%,,,,,,
,46.8%,,,,,,
,39.5%,,,,,,
,70.0%,,,,,,
,84.4%,,,,,,
,6.3%,,,,,,
,62.3%,,,,,,
,88.9%,,,,,,
,88.9%,,,,,,
,4.9,,,,,,
Asset Quality,,,,,,,
,4.5%,,,,,,
,128.4%,,,,,,
,3.0%,,,,,,
,3.1%,,,,,,
,54.3%,,,,,,
,2.9%,,,,,,
Capital Adequacy,,,,,,,
,19.0%,,,,,,
,19.6%,,,,,,
,469.1%,,,,,,
,227.5%,,,,,,
,10.2%,,,,,,
Market Sensitivity,,,,,,,
,(9.5%),,,,,,
,68.9%,,,,,,
,95.0%,,,,,,
,21.3%,,,,,,
,27.5%,,,,,,
Selected Operating Data,,,,,,,
,"1,225",,,,,,
,0.5,,,,,,
,79,,,,,,
,9,,,,,,
,91,,,,,,
,"1,002",,,,,,
,"198,067",,,,,,
,"1,280",,,,,,
