THE BANK,Column,THE GROUP
2017,2016,2017
FRw’000,FRw’000,FRw’000
"6,745,370","6,724,428","6,745,370"
"83,789,827","69,251,988","84,068,437"
"18,936,176","18,695,343","18,936,176"
"109,471,373","94,671,759","109,749,983"
"3,250,037","3,407,656","3,250,037"
"112,721,410","98,079,415","113,000,020"
"4,803,463","1,400,000","4,803,463"
"9,610,026","15,526,974","9,610,026"
"19,606,606",-,"19,606,606"
"412,878,286","340,245,045","412,878,286"
"30,043,879","22,789,762","30,043,879"
"2,621,425","1,221,425","221,425"
"44,418,122","42,408,327","45,659,989"
"57,640,509","77,102,570","57,640,509"
"581,622,316","500,694,103","580,464,183"
15%,15%,15%
19.38%,19.6%,19.47%
18.82%,18.9%,18.91.0%
