Performance,"2023
(Shs Millions)","2024
(Shs Millions)"
Total revenue,"55,861","60,959"
Customer deposits,"504,556","542,164"
Total assets,"624,108","656,482"
PBT,"18,638","20,051"
Other metrics,,
Customer numbers,"2,054,360","2,719,603"
Employee numbers,"2,696","3,057"
ATM’s,279,400
Branches,81,79
Agents,"8,222","23,043"
