Column,latoT ytiuqe,’shS snoillim,"679,18",Column,"819,81",)502(,"317,81",-,")745,7(","241,39"
,-noN gnillortnoc stseretni,’shS snoillim,107,,94,-,94,-,-,057
"tnerap
eht
fo
srenwo
ot
elbatubirttA",latoT,’shS snoillim,"572,18",,"968,81",)502(,"466,81",-,")745,7(","293,29"
,rehtO sevreser,’shS snoillim,)311(,,-,-,-,-,-,)311(
,ngieroF ycnerruc noitalsnart evreser,’shS snoillim,")061,6(",,-,")205,1(",")205,1(",-,-,")266,7("
,elbaliavA elas-rof evreser,’shS snoillim,)977(,,-,"792,1","792,1",-,,815
,naoL ssol evreser,’shS snoillim,"082,2",,-,-,-,733,-,"716,2"
,deniateR sgninrae,’shS snoillim,"790,86",,"968,81",-,"968,81",)733(,")745,7(","280,97"
,erahS muimerp,’shS snoillim,"360,61",,-,-,-,-,-,"360,61"
,erahS latipac,’shS snoillim,"788,1",,-,-,-,-,-,"788,1"
,,,,,,,,,")g(
72",
,"7102
rebmeceD
13
dedne
raeY",,"raey
fo
trats
tA",":emocni
evisneherpmoc
latoT","raey
eht
rof
tfiorP","emocni
evisneherpmoc
rehtO",,"srefsnart
evreser
naoL","deralced
dnedivid
6102
diap
laniF
dna","raey
fo
dne
tA"
