UNAUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES,EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
,BANK,,COMPANY,,GROUP,
,"30th Sept 2019 31st Dec 2019 31st Mar 2020 30th June 2020
Shs. '000' Shs. '000' Shs. '000' Shs. '000'
(Unaudited) (Audited) (Unaudited) (Unaudited)
7,800,212 10,294,829 10,691,593 8,345,301
39,091,406 22,299,710 15,375,969 15,865,945
- - - -
- - - -
152,643,852 154,964,387 173,241,943 198,148,184
15,800,703 15,798,028 15,813,900 14,454,454
15,187,990 15,183,690 15,196,620 14,454,454
612,713 614,338 617,280 -
136,843,149 139,166,359 157,428,043 183,693,730
119,882,612 123,389,271 142,385,141 166,460,811
16,960,537 15,777,088 15,042,902 17,232,919
2,500,000 4,000,974 2,579,500 809,849
13,142,467 6,800,293 8,793,030 9,995,689
- - - -
263,385,715 276,863,043 284,234,137 293,741,008
948,890 925,602 4,688,379 1,283,328
- - - -
- - - -
- - - -
- - - -
5,433,108 5,725,566 5,727,060 5,700,234
12,111 - - -
6,381,042 6,191,571 6,708,922 6,565,858
4,925,505 5,064,277 6,016,906 6,769,536
- - - -
15,564,722 14,394,985 12,628,819 14,786,211",30th Sept 2020,"30th Sept 2019 31st Dec 2019 31st Mar 2020 30th June 2020
Shs. '000' Shs. '000' Shs. '000' Shs. '000'
(Unaudited) (Audited) (Unaudited) (Unaudited)
192,386 12,693,971 13,056,741 9,619,088
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
83,250 36,935 - 8,923
- - - -
79,551 60,535 92,861 41,530
- - - -
66,786,117 66,786,117 70,193,742 70,193,742
- - - -
- - - -
- 12,455 12,516 12,329
- - - -
- - - -
82,996 84,481 84,481 77,191
- - - -
194,617 159,065 155,239 156,450",30th Sept 2020,"30th Sept 2019 31st Dec 2019 31st Mar 2020 30th June 2020
Shs. '000' Shs. '000' Shs. '000' Shs. '000'
(Unaudited) (Audited) (Unaudited) (Unaudited)
21,996,084 25,499,983 24,702,503 26,188,046
39,091,406 22,299,710 15,375,969 15,865,945
- - - -
- - - -
165,791,008 172,208,187 189,878,441 216,385,915
17,916,267 21,572,268 18,660,039 17,666,301
15,187,990 15,183,690 15,196,620 14,454,454
2,728,277 6,388,578 3,463,419 3,211,847
147,874,741 150,635,919 171,218,402 198,719,614
119,882,613 123,389,271 142,385,141 166,790,196
27,992,128 27,246,648 28,833,261 31,929,418
7,862,323 7,202,000 15,472,363 13,157,199
41,064,759 31,432,500 19,616,267 31,366,918
112,722 152,328 115,701 110,843
348,926,199 366,440,456 379,215,389 391,633,218
- 19,100 - -
- - - -
- - - -
- - - -
- - - -
11,304,008 11,030,843 11,374,618 11,165,575
98,653 - - -
6,871,055 7,244,414 7,713,921 7,540,002
6,084,459 6,491,884 7,469,869 8,279,546
- - - -
27,902,791 23,661,136 22,250,654 24,775,866",30th Sept 2020
,,Shs. '000',,Shs. '000',,Shs. '000'
,,(Unaudited),,(Unaudited),,(Unaudited)
,,"9,864,622",,"579,929",,"41,713,160"
,,"15,201,432",,-,,"15,201,432"
,,-,,-,,-
,,-,,-,,-
,,"202,182,758",,-,,"222,840,019"
,,"14,516,264",,-,,"17,118,498"
,,"14,516,264",,-,,"14,516,264"
,,-,,-,,"2,602,234"
,,"187,666,494",,-,,"205,721,521"
,,"170,433,575",,-,,"170,782,453"
,,"17,232,919",,-,,"34,939,068"
,,"4,256,800",,-,,"26,815,679"
,,"18,333,398",,-,,"93,794,276"
,,-,,"13,175",,"200,472"
,,"302,424,380",,-,,"453,889,882"
,,"2,649,598",,"39,265",,"47,547"
,,-,,-,,-
,,-,,"80,598,329",,-
,,-,,-,,-
,,-,,-,,"5,132,952"
,,"5,465,703",,"12,204",,"16,881,616"
,,-,,-,,-
,,"6,530,740",,-,,"9,597,243"
,,"7,215,538",,"77,191",,"9,709,541"
,,-,,-,,-
,,"24,807,152",,"121,094",,"38,090,488"
,"511,829,030 507,525,237 530,686,258 562,011,143","598,932,121","67,418,917 79,833,559 83,595,580 80,109,253","81,441,187","677,105,467 673,682,541 693,185,695 746,469,073","933,914,307"
,"- - - -
367,404,116 380,603,583 399,431,891 423,822,908
- - - -
- - - -
9,279,861 534,216 5,026,430 -
42,475,546 41,542,934 39,832,786 45,962,394
231,960 176,118 434,925 586,010
750,568 1,257,482 3,355,773 443,305
- - - -
- - - -
- - - -
13,195,206 13,496,534 9,975,964 13,019,226",,"- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
491,390 618,649 4,086,124 480,242
- - 38,789 -
- - - -
- - - -
- - - -
2,824 38,511 16,567 9,204",,"- - - -
478,100,509 482,752,134 499,328,941 543,893,929
- - - -
- - - -
8,700,368 113,414 2,513,660 343,150
57,597,897 56,600,944 52,593,634 57,230,292
77,470 - 74,804 90,233
1,106,234 1,928,201 4,169,437 815,083
- - - -
59,414 149,708 138,590 25,564
- - - -
22,762,593 20,361,475 17,963,108 20,710,778",
,,-,,-,,-
,,"445,318,443",,-,,"691,033,338"
,,-,,-,,-
,,-,,-,,-
,,"2,000,000",,-,,"2,116,952"
,,"54,317,025",,-,,"68,542,720"
,,"632,837",,"1,815,318",,-
,,"237,520",,-,,"662,637"
,,-,,-,,"154,446"
,,-,,-,,"1,632,695"
,,-,,-,,"1,933,039"
,,"12,608,846",,"2,188",,"30,256,597"
,"433,337,257 437,610,867 458,057,769 483,833,843","515,114,671","494,214 657,160 4,141,480 489,446","1,817,506","568,404,485 561,905,876 576,782,174 623,109,029","796,332,424"
,"30,000,000 30,000,000 30,000,000 30,000,000
9,964,132 9,964,132 9,964,132 9,964,132
3,322,847 2,380,913 1,246,547 3,470,579
35,204,794 27,569,325 31,417,810 34,742,590
- - - -
- - - -
- - - -
- - - -",,"1,886,837 1,886,837 1,886,837 1,886,837
16,062,607 16,062,607 16,062,607 16,062,607
- - - -
48,975,259 61,226,955 61,504,656 61,670,363
- - - -
- - - -
- - - -
- - - -",,"1,886,837 1,886,837 1,886,837 1,886,837
16,062,607 16,062,607 16,062,607 16,062,607
(5,212,186) (7,118,600) (7,816,667) (4,612,324)
94,826,206 99,149,659 104,433,749 108,171,776
118,959 738,780 738,780 738,780
- - - -
- - - -
1,018,559 1,057,382 1,098,215 1,112,368",
,,"30,000,000",,"1,886,837",,"1,886,837"
,,"9,964,132",,"16,062,607",,"16,062,607"
,,"5,655,356",,-,,"(1,979,229)"
,,"38,197,962",,"61,674,237",,"113,964,134"
,,-,,-,,"738,780"
,,-,,-,,-
,,-,,-,,-
,,-,,-,,"6,908,754"
,"78,491,773 69,914,370 72,628,489 78,177,301","83,817,450","66,924,703 79,176,399 79,454,100 79,619,807","79,623,681","108,700,982 111,776,665 116,403,521 123,360,044","137,581,883"
,"511,829,030 507,525,237 530,686,258 562,011,143","598,932,121","67,418,917 79,833,559 83,595,580 80,109,253","81,441,187","677,105,467 673,682,541 693,185,695 746,469,073","933,914,307"
,"19,858,534 28,835,285 7,293,372 15,578,001
11,770,070 15,658,672 4,156,241 8,961,727
472,244 799,441 106,398 155,403
49,128 190,439 16,386 31,801",,"- - - -
- - - -
169,395 181,752 255,095 403,350
- - - -",,"28,975,174 41,458,529 10,767,246 22,510,277
12,632,814 16,872,322 4,516,558 9,763,685
1,125,912 1,201,517 119,210 379,235
53,052 190,439 20,198 143,049",
,,"24,282,356",,-,,"36,031,369"
,,"14,101,870",,-,,"15,396,709"
,,"184,851",,"422,378",,"492,122"
,,"45,149",,-,,"159,560"
,"32,149,976 45,483,837 11,572,397 24,726,932","38,614,226","169,395 181,752 255,095 403,350","422,378","42,786,952 59,722,807 15,423,212 32,796,246","52,079,760"
,"5,834,223 7,908,835 2,443,905 5,049,348
109,771 139,496 7,101 23,751
1,775,641 3,020,094 747,591 1,449,311",,"- - - -
- - - -
- - - -",,"8,121,566 11,072,280 2,821,123 6,123,976
523,033 698,524 130,191 263,122
1,858,839 2,969,642 926,737 1,773,927",
,,"7,683,723",,-,,"9,579,005"
,,"59,536",,-,,"549,599"
,,"2,173,977",,-,,"2,640,649"
,"7,719,635 11,068,425 3,198,597 6,522,410","9,917,236",- - - -,-,"10,503,438 14,740,446 3,878,051 8,161,025","12,769,253"
,"24,430,341 34,415,412 8,373,800 18,204,522","28,696,990","169,395 181,752 255,095 403,350","422,378","32,283,514 44,982,361 11,545,161 24,635,221","39,310,507"
,"3,856,066 5,017,215 1,284,960 2,198,564
7,637,670 10,371,202 2,664,907 4,323,723
1,793,208 2,312,072 695,548 1,547,446
- - - -
2,263,281 3,032,367 1,006,254 2,215,493",,"- - - -
- - - -
- - - -
- 12,500,000 100,000 206,800
30,505 58,586 32,326 32,326",,"4,291,146 5,596,635 1,401,477 2,457,713
11,403,669 15,608,742 4,002,812 6,765,169
2,841,114 3,503,661 1,094,954 2,230,993
- - - -
4,012,975 6,071,015 1,813,918 2,946,358",
,,"3,808,180",,-,,"4,383,005"
,,"6,377,103",,-,,"11,108,644"
,,"2,384,241",,-,,"4,005,140"
,,-,,"206,800",,-
,,"4,078,901",,"92,623",,"5,321,163"
,"15,550,225 20,732,856 5,651,669 10,285,226","16,648,425","30,505 12,558,586 132,326 239,126","299,423","22,548,904 30,780,053 8,313,161 14,400,233","24,817,952"
