The annual rates of depreciation (2.5% - 33.3%) in use are as follows:,Column
Buildings,2.5%
Motor vehicles and Village cell banking vans,25%
"(cid:50)ffice equi(cid:83)ment, furniture and fittings",12.5%
Computer hardware,33.3%
"ATM machines, core banking hardware",20%
